Participant ,Accent,Word,Sentence Number,F1,F2,Expected,Realized,IPA of Vowel,Gender,Age
4,Northern English,Luck,6,656.77,1469.36,/lʊk/,/lʊk/,,Female - Cis,21
4,Northern English,Luck,6,645.86,1525.35,/lʊk/,/lʊk/,,Female - Cis,21
4,Northern English,Luck,6,703.48,1524.71,/lʊk/,/lʊk/,,Female - Cis,21
5,American,Look,1,459.19,1237.24,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,1,451.46,1268.5,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,1,495.61,1404.42,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,2,529.4,1212.93,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,2,521.14,1225.21,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,2,532.02,1255.64,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,3,499.72,1138.55,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,3,548.13,1177.79,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Look,3,516.06,1309.61,/lʊk/,/lʊk/,,Transgender - Male,19
5,American,Luck,4,687.68,1236.98,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,4,646.06,1199.97,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,4,742.96,1253.2,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,5,565.52,1321.61,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,5,621.9,1306.76,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,5,701.39,1289.36,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,6,689.12,1263.11,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,6,650.63,1151.97,/lʌk/,/lʌk/,,Transgender - Male,19
5,American,Luck,6,625.2,1181.72,/lʌk/,/lʌk/,,Transgender - Male,19
6,American,Look,1,553.12,1487.62,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Look,1,571.09,1443.71,/lʊk/,/lʊk/,,Female - Cis,21
